"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"204","loss","Submission (Kneebar)","Jonathan Tsosie","Shane Johnson",1,0,-1,0,0,FALSE,1,0,1,0,8,0,-3,0.5,0.5,FALSE,0.375,4,3,1,0,0,-4,-2
"205","loss","Submission (Choke)","Jonathan Tsosie","Seth Baczynski",5,1,1,0.2,0.2,TRUE,0.8,1,4,0.2,1,0,-1,0,0,FALSE,1,0,1,0,1,-1,1,3
"206","loss","Submission (Armbar)","Vincent Martinez","Peter Baltimore",13,0,-9,0.0769230769230769,0,FALSE,0.846153846153846,0,11,0,3,1,1,0.666666666666667,0.666666666666667,TRUE,0.333333333333333,2,1,1,-1,1,-2,10
"207","loss","Submission (Triangle Armbar)","Gilbert Smith","Bubba McDaniel",6,1,3,0.833333333333333,0.666666666666667,TRUE,0,4,0,4,26,1,6,0.769230769230769,0.730769230769231,TRUE,0.230769230769231,19,6,2.71428571428571,0,0,-15,-6
"208","win","Decision (Unanimous)","Gilbert Smith","Jason South",9,1,2,0.777777777777778,0.555555555555556,FALSE,0.111111111111111,5,1,2.5,11,0,-1,0.909090909090909,0.909090909090909,FALSE,0.0909090909090909,10,1,5,0,-1,-5,0
"209","loss","Decision (Split)","Gilbert Smith","Fernando Gonzalez",16,1,2,0.75,0.5,TRUE,0.0625,8,1,4,37,1,4,0.648648648648649,0.432432432432432,TRUE,0.189189189189189,16,7,2,0,0,-8,-6
"210","loss","Decision (Unanimous)","Gilbert Smith","Ricky Rainey",17,0,-1,0.705882352941177,0.470588235294118,FALSE,0.0588235294117647,8,1,4,15,0,-1,0.733333333333333,0.533333333333333,FALSE,0.133333333333333,8,2,2.66666666666667,0,0,0,-1
"211","draw","DrawMike Beltran)","Joseph Henle","Collin Hart",3,1,3,1,0.666666666666667,TRUE,0,2,0,2,3,0,-1,0.666666666666667,0.666666666666667,FALSE,0,2,0,2,1,0,0,0
"212","win","Decision (Majority)","Jared Revel","Collin Hart",10,1,3,0.8,0.7,TRUE,0.1,7,1,3.5,10,1,2,0.6,0.5,FALSE,0.1,5,1,2.5,1,0,2,0
"213","win","Decision (Unanimous)","Jared Revel","Sergio Moraes",12,1,5,0.833333333333333,0.666666666666667,TRUE,0.0833333333333333,8,1,4,21,0,-3,0.666666666666667,0.428571428571429,FALSE,0.238095238095238,9,5,1.5,1,-1,-1,-4
